Model,Optimizer,R,R std,R2,R2 std,RMSE,RMSE std,MAE,MAE std,MAPE,MAPE std
PSO,ANN,0.7686016559535276,0.1001977159306588,0.569740114369036,0.16630355474191122,6.183582053136945,1.1111633302720978,4.667103879503679,0.8666457311701117,13.02491330481569,2.7571550911951666
PSO,EN,0.4718244929532348,0.08935769600215025,0.19734091847082966,0.09041754318940216,8.578148829423114,0.8122426838494442,6.685210395206997,0.626881385008787,19.66837483262385,2.8305358269916905
PSO,KNN,0.7683998039037019,0.062225138455608495,0.5704611463781937,0.1068716664162011,6.213201329780086,0.7133741590095933,4.512865300522291,0.48657660400842345,12.922747962872588,1.8663085515192346
PSO,RF,0.9208594598361651,0.029640786569602673,0.8434196244870571,0.05442338904841173,3.7418612838935057,0.7312021425355785,2.3378720366419232,0.2911704309879395,6.7766602261037265,1.1514328795290933
PSO,SVR,0.6043242145867675,0.16690805974947634,0.2535440864556029,0.40612013053916,8.017376619900501,1.9351114714516875,5.453070763163489,0.9141134983131689,15.241678734032849,3.003641726522854
PSO,XGB,0.9273461783273372,0.027126402613385003,0.85581456973248,0.051731745527901336,3.579798136179083,0.6792686640695792,2.298674653249547,0.27663260498518655,6.4469606008100255,1.0575768544554498
SGA,ANN,0.7546757488654023,0.08570890407530819,0.5507144767611435,0.13572245941486175,6.3576815604798185,1.0971489641722225,4.926995421684406,0.9406374646946214,13.754821672363033,3.0969373665926945
SGA,EN,0.4718411337361898,0.08934074002251657,0.19735630707100185,0.09040176111354035,8.578070072121047,0.8121807463079724,6.6851720102227485,0.6268127363435444,19.668270770433757,2.8304578641562053
SGA,KNN,0.7691239313395577,0.0629300733056139,0.5722258478060869,0.10836232312186536,6.199513516686693,0.7331303086922626,4.5158993267880225,0.479783403539885,12.932655012250164,1.841943225642353
SGA,RF,0.9207817770450021,0.029754818497357626,0.8433276313978972,0.05470196660504813,3.7426506055836843,0.7375954768098137,2.346403880224577,0.29956644021362955,6.793523940684126,1.159836791760953
SGA,SVR,0.37779882005400167,0.15518834962953407,0.13631287221616467,0.13275079018012495,8.880871007891407,0.9835671560872071,7.043618929420839,0.8689636092462474,20.223922218565846,3.1707847469621435
SGA,XGB,0.9288153891219565,0.024174392765949623,0.8591037414957198,0.04609008999940852,3.55070846108722,0.6243455458365867,2.32271659007418,0.2787170872854366,6.524943220824444,0.9967949761410615
